tpms_type,unit_cell_size_mm,wall_thickness_mm,porosity_min,porosity_max,func_degree,stl_path,compressive_strength_MPa,tensile_strength_MPa,max_force_N,cross_sectional_area_m2,energy_absorption_J,max_displacement_mm,max_strain,status
gyroid,8.0,2.5,0.4,0.5,2,gyroid_outputs/gyroid_20251203_030128.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.4,0.6,1,gyroid_outputs/gyroid_20251203_030131.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.4,0.6,2,gyroid_outputs/gyroid_20251203_030134.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.4,0.7,1,gyroid_outputs/gyroid_20251203_030137.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.4,0.7,2,gyroid_outputs/gyroid_20251203_030140.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.4,0.8,1,gyroid_outputs/gyroid_20251203_030143.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.4,0.8,2,gyroid_outputs/gyroid_20251203_030146.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.4,0.9,1,gyroid_outputs/gyroid_20251203_030149.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.4,0.9,2,gyroid_outputs/gyroid_20251203_030153.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.5,1,gyroid_outputs/gyroid_20251203_030156.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.5,2,gyroid_outputs/gyroid_20251203_030159.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.6,1,gyroid_outputs/gyroid_20251203_030201.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.6,2,gyroid_outputs/gyroid_20251203_030204.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.7,1,gyroid_outputs/gyroid_20251203_030207.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.7,2,gyroid_outputs/gyroid_20251203_030210.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.8,1,gyroid_outputs/gyroid_20251203_030213.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.8,2,gyroid_outputs/gyroid_20251203_030218.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.9,1,gyroid_outputs/gyroid_20251203_030221.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,2.5,0.5,0.9,2,gyroid_outputs/gyroid_20251203_030223.stl,14.02703879563653,0.8365282224095708,5000.0,0.0003564544215529922,0.026483050046809686,0.010593220018723875,0.0005610815518254613,success
gyroid,8.0,3.0,0.2,0.5,1,gyroid_outputs/gyroid_20251203_030226.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
gyroid,8.0,3.0,0.2,0.5,2,gyroid_outputs/gyroid_20251203_030228.stl,15.57019492139156,1.5570194921391558,5000.0,0.0003211263587413801,0.027901787506709644,0.011160715002683855,0.0006228077968556624,success
